kda. N_PL-IRREG-NOAFF_OLR kda.
offered V_PAS-PRT-T_ODLR offer
grokked V_PAS_ODLR grok
costed V_PSP_OLR cost
marvelin V_PRP-NF_OLR marvel
nevermatchform V_V-CO_DLR da
showed V_PAS-P_ODLR show
following N_PL-IRREG-NOAFF_OLR following
focuses V_3S-FIN_OLR focus
hovered V_PAS_ODLR hover
emitted V_PSP_OLR emit
businessmen N_PL-IRREG_OLR businessman
coppered V_PST_OLR copper
chairwomen N_PL-IRREG_OLR chairwoman
spoiled V_PSP_OLR spoil
considerin V_PRP-NF_OLR consider
backordered V_PAS_ODLR backorder
plopped V_PSP_OLR plop
giggin V_PRP-NF_OLR gig
thought V_PAS_ODLR think
scudded V_PAS_ODLR scud
abhorring V_PRP_OLR abhor
bolstered V_PAS_ODLR bolster
peppered V_PAS_ODLR pepper
gentlemen N_PL-IRREG_OLR gentleman
imbedded V_PAS_ODLR imbed
nevermatchform V_V-UNDER_DLR pinning
charred V_PSP_OLR char
pistoning V_PRP_OLR piston
abutted V_PSP_OLR abut
loosened V_PST_OLR loosen
spent V_PST_OLR spend
nevermatchform V_V-RE_DLR strains
ravelled V_PST_OLR ravel
hanged V_PAS-PRT-T_ODLR hang
nevermatchform V_V-RE_DLR minds
hummed V_PST_OLR hum
bolstered V_PSP_OLR bolster
flappin V_PRP-NF_OLR flap
waggin V_PRP-NF_OLR wag
glistenin V_PRP-NF_OLR glisten
chartered V_PAS_ODLR charter
rapped V_PAS_ODLR rap
shuttered V_PSP_OLR shutter
equipped V_PSP_OLR equip
nevermatchform N_N-CO_DLR rps
quit V_PAS_ODLR quit
gigged V_PSP_OLR gig
gossiping V_PRP_OLR gossip
cupped V_PSP_OLR cup
conferred V_PST_OLR confer
gutted V_PAS_ODLR gut
hardened V_PSP_OLR harden
