
New le type         Old le type
------------------- -------------------------------- 
n_-_cl-poss-nq_le   n_poss_clitic_noquant_le
n_-_pn-hour_le      n_hour_le                  
n_-_pn-hour-apx_le  n_approx_hour_le           
n_np_pn-hour_le     n_hour_min_le              
n_-_pn-mealtm_le    n_mealtime_le              
n_-_pn-yoc_le       n_year_le                  
n_-_pn-dom-ord_le   n_day_of_month_le          
n_-_pn-dom-card_le  n_day_of_month_card_le     
n_-_pn-dom-euro_le  n_day_of_month_euro_le     
n_-_c-dpt_le        n_day_part_nocomp_le       
n_pp_c-dpt-sg-of_le n_day_part_sg_le           
n_pp_c-dpt-pl-of_le n_day_part_pl_le           
n_np_pn-hol_le      n_holiday_le               
n_-_m-ssn_le        n_season_div_le            
n_-_m-ssn-spr_le    n_season_wspec_le          
n_np_m-ssn_le       n_season_np_le             
n_-_c-dpt-df-sg_le  n_def_day_part_sg_le       
n_-_c-dpt-df-pl_le  n_def_day_part_pl_le       
n_-_meas_le         meas_np_le                 
n_-_c-sg-unk_le     n_intr_sg_nale             
n_-_m-unk_le        n_intr_mass_nale           
n_-_mc-unk_le       n_mass_count_nale          
n_-_c-pl-unk_le     n_intr_pl_nale             
n_-_c-tt-unk_le     n_title_nale               
av_-_s-vp_le        adv_vp_le                  
av_-_s-vp-po_le     adv_vp_post_le             
av_-_s-vp-pr_le     adv_vp_pre_le              
av_-_s-vp-x_le      adv_vp_aux_le              
av_-_s-cp_le        adv_s_le                   
av_-_s-cp-pr_le     adv_s_pre_le               
av_-_s-cpp-pr_le    adv_s_prop_pre_le          
av_-_s-cp-nsp-po_le adv_s_post_word_nospec_le  
av_-_s-cp-nsp-pr_le adv_s_pre_word_nospec_le   
